Przedmiot;Rzecz;Waga;;;;
Polski;Ćwiczenia;296;;;;
;Podręcznik lit.;717;;;;
;Podręcznik ort.;521;;;;
;Zeszyt 60k;142;;;;
Matematyka;Podręcznik ;383;;;;
;Ćwiczenia;166;;;;
;Zeszyt 60k;148;;;;
Przyroda;Atlas;363;;;;
;Podręcznik;345;;;;
;Ćwiczenia;277;;;;
;Zeszyt 60k;229;;;;
Religia;Ćwiczenia;208;;;;
;Podręcznik;224;;;;
;Zeszyt;136;;;;
Technika;Podręcznik;192;;;;
;Zeszyt 100k;564;;;;
Angielski;Podręcznik;327;;;;
;Ćwiczenia;240;;;;
;Zeszyt 60k;148;;;;
Historia;Podręcznik;341;;;;
; Zeszyt 60k;143;;;;
Muzyka;Podręcznik;298;;;;
;Zeszyt 16k;62;;;;
Plastyka;Podręcznik;167;;;;
;Zeszyt 16k;;;;;
Informatyka;Zeszyt 60k;159;;;;
Przybory;Teczka;60;;;;
;Piórnik;355;;;;
;Plecak;1000;;;;
WF;Gacie;85;;;;
;Koszulka;95;;;;
;Buty;;;;;
;Worek;117;;;;
